filename,label,pitch_mean,pitch_std,pitch_range,tempo,onset_count,spectral_centroid,spectral_rolloff,zero_crossing_rate,rms_energy,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13
clip_039.wav,0,751.18256,812.0632,3533.6777,[107.66601562],18,1613.8389978506182,2800.9728064903848,0.09161658653846154,0.03480899,-355.33743,129.82509,-19.07313,24.203074,5.87904,17.484982,-11.432136,-16.60287,0.5274851,-7.594479,-10.435834,-3.1711752,-6.623901
clip_040.wav,1,527.229,572.2176,3046.4758,[103.359375],13,1364.887735238308,2290.05615234375,0.06645132211538461,0.03342899,-346.47916,145.32735,-14.890724,12.615989,2.0255473,17.82358,-2.7221656,-13.729797,-1.2232513,-7.056984,-3.5336013,1.8914751,-10.4577265
clip_041.wav,0,415.52078,382.5271,2149.951,[172.265625],18,1507.6119870843347,2747.4710787259614,0.07732872596153846,0.041083395,-329.69815,139.70715,-17.031128,19.624624,8.008659,19.04688,-11.334005,-13.640676,-2.2200768,-13.990492,-11.648197,-3.8576374,-10.5674305
clip_042.wav,1,602.70856,668.8294,3065.2861,[86.1328125],16,1570.6812949718405,2701.1746920072114,0.08825871394230769,0.04682185,-295.3368,140.11957,-28.290264,27.419397,-5.450337,14.992836,-16.040133,-13.77469,-0.55829006,-16.455187,-9.339562,-3.796674,-11.207909
clip_043.wav,1,649.90125,824.02057,3534.1152,[95.703125],15,1747.3874227037102,3154.945537860577,0.09652944711538461,0.037258998,-310.24753,124.067276,-31.480112,23.8206,9.688292,21.647776,-13.717772,-17.216822,-0.3959048,-9.666305,-14.38125,-4.5682583,-10.514764
clip_044.wav,0,540.8533,595.2501,3268.4363,[143.5546875],17,1699.6217183608874,3064.7545447716348,0.086572265625,0.039877582,-315.66214,124.71677,-34.284195,27.570774,14.589139,23.952625,-12.701219,-22.143124,-5.1875377,-9.077486,-17.391075,-12.029108,-8.651086
clip_045.wav,0,406.1456,558.22626,3266.9692,[129.19921875],18,1462.9020201901458,2646.099384014423,0.07651742788461538,0.041793577,-307.047,142.6927,-20.356106,37.40554,6.662849,11.608132,-18.261719,-11.921295,-1.2027757,-18.476934,-15.394849,-4.021209,-13.518791
clip_046.wav,0,420.31616,350.07446,1005.1642,[95.703125],11,1518.078289994873,2786.2308443509614,0.06517052283653846,0.026295684,-393.67322,139.38786,-15.179109,3.1031594,-1.0585443,16.870127,-4.3328304,-9.640343,1.6462789,-11.00261,-2.4696596,5.0977883,-8.859865
clip_047.wav,1,444.72284,461.58694,2773.883,[129.19921875],14,1453.3609657258144,2631.5230618990386,0.06967397836538461,0.03527998,-369.7596,137.5116,-14.559723,8.719885,6.53061,17.80145,-7.908175,-9.500178,2.847679,-12.729225,-6.9011393,-0.33058375,-11.447284
clip_048.wav,0,514.4868,644.63745,3830.4302,[161.49902344],14,1463.8961307420786,2614.130859375,0.07222430889423077,0.042197242,-341.21027,136.94699,-19.398926,24.436972,-1.8218285,10.516754,-7.8048396,-9.570741,-0.13740352,-17.147623,-9.289831,-0.92000216,-10.466029
clip_049.wav,1,495.15417,776.0699,3139.8936,[89.10290948],13,1470.5203439940972,2607.1739783653848,0.08160682091346154,0.041004788,-338.43887,139.96541,-7.568592,26.426468,0.13574806,11.272863,-9.248023,-8.4666,-1.0343039,-14.151627,-11.712164,-5.678406,-11.487491
clip_050.wav,1,731.2362,926.7961,3101.1067,[129.19921875],17,1608.6159392586953,2725.440955528846,0.09078650841346154,0.031873766,-344.17307,136.85709,-21.204308,22.695919,4.4236393,11.673751,-11.714658,-10.486755,-2.3361483,-10.982514,-4.5061965,-1.5233878,-14.00189
clip_051.wav,0,785.41644,602.4749,3242.577,[86.1328125],13,1568.8133250313085,2884.5381986177886,0.076611328125,0.027387885,-384.6158,122.13397,-9.430776,9.906617,6.1324377,16.528002,-5.179851,-8.792915,-4.6584463,-14.777369,-9.214132,-0.42606694,-3.74163
clip_052.wav,0,526.81335,718.68823,3831.9717,[103.359375],15,1686.8939817902349,3088.7723482572114,0.08893103966346154,0.03702741,-332.22086,130.2815,-21.59454,20.801254,4.2864385,17.27528,-12.948971,-12.648411,1.1828724,-11.986001,-7.1528997,-0.102077425,-12.428104
